name,size,width,height,aspect,long_side,sharpness,brightness,contrast,score
IMG_0335.JPEG,975248,2048,1536,1.3333,2048,2079.8,123.4,60.76,2745.34
IMG_5696.JPG,4963379,4032,3024,1.3333,4032,1728.2,117.78,56.23,2737.47
IMG_0076.jpeg,1202715,2049,1536,1.334,2049,1998.42,105.68,62.64,2637.92
IMG_9503.jpeg,1193464,1536,2048,0.75,2048,2388.12,101.71,54.87,2626.93
IMG_4243.JPEG,1085929,1536,2048,0.75,2048,2372.15,119.89,57.64,2609.36
IMG_9931.jpeg,1111157,2048,1536,1.3333,2048,1970.74,128.82,55.73,2601.37
IMG_0076.JPG,5285229,4032,3024,1.3333,4032,1641.66,126.87,63.7,2600.39
IMG_6575.JPG,5346000,4032,3024,1.3333,4032,1622.39,131.91,49.8,2569.87
IMG_3666.JPEG,1171453,1330,2364,0.5626,2364,2319.92,132.37,51.99,2551.91
IMG_0079.jpeg,868546,2049,1536,1.334,2049,1868.97,133.29,59.66,2467.05
IMG_1433.JPEG,1190171,1330,2364,0.5626,2364,2236.3,119.74,59.62,2459.93
IMG_6973.jpeg,1008334,1537,2049,0.7501,2049,2227.24,124.44,74.81,2449.96
IMG_4614.JPEG,1049564,2048,1536,1.3333,2048,1855.3,104.8,67.67,2449.0
IMG_6577.JPG,4806781,4032,3024,1.3333,4032,1521.97,134.59,66.37,2410.8
IMG_5477.JPEG,3614978,4032,2268,1.7778,4032,1509.02,138.12,56.31,2390.29
IMG_1432.JPEG,1070820,2364,1330,1.7774,2364,1802.67,127.23,62.18,2379.52
IMG_0332.JPEG,1117813,1536,2048,0.75,2048,2147.52,118.67,56.42,2362.27
IMG_0258.JPG,3239555,2268,4032,0.5625,4032,1784.8,125.4,48.66,2355.93
IMG_0321.JPEG,1012112,2048,1536,1.3333,2048,1782.17,119.59,50.26,2352.47
IMG_3650.JPEG,1393519,1330,2364,0.5626,2364,2116.05,125.24,70.98,2327.65
IMG_4095.JPEG,1310913,1536,2048,0.75,2048,2104.76,125.21,53.62,2315.23
IMG_0035.jpeg,1105209,1536,2049,0.7496,2049,2072.23,136.87,49.31,2279.45
IMG_4619.JPEG,1118944,1536,2048,0.75,2048,2070.74,133.04,52.81,2277.82
IMG_7429.JPG,4770471,4032,3024,1.3333,4032,1428.74,127.66,77.1,2263.13
IMG_4615.JPEG,1020655,2048,1536,1.3333,2048,1700.85,106.23,67.3,2245.12
IMG_1376.JPEG,914353,1330,2364,0.5626,2364,1980.79,136.37,46.52,2178.87
IMG_0078.JPEG,882801,2049,1536,1.334,2049,1634.4,151.06,46.81,2157.4
Image.JPEG,9437156,8064,3024,2.6667,8064,1627.35,141.36,60.83,2148.1
IMG_4093.JPEG,1303181,1536,2048,0.75,2048,1935.73,113.57,55.3,2129.31
IMG_0069.JPEG,819965,2364,1330,1.7774,2364,1610.39,122.53,70.71,2125.72
IMG_0211.JPEG,893788,2048,1536,1.3333,2048,1588.98,114.45,72.82,2097.45
IMG_0259.JPG,3005181,2268,4032,0.5625,4032,1577.55,131.29,53.97,2082.36
IMG_9688.jpeg,640208,1536,2048,0.75,2048,1879.91,149.76,55.3,2067.9
IMG_0214.JPEG,813929,2048,1536,1.3333,2048,1564.71,137.51,64.84,2065.41
IMG_6502.JPG,367300,2048,1152,1.7778,2048,1550.26,141.82,75.57,2046.34
IMG_0016.jpeg,119632,720,960,0.75,960,1856.92,145.27,51.9,2042.62
IMG_6971.jpeg,927933,1536,2049,0.7496,2049,1853.27,124.74,74.54,2038.59
IMG_1351.JPEG,1008135,1330,2364,0.5626,2364,1811.31,125.56,50.15,1992.44
IMG_4028.JPEG,1009030,2364,1330,1.7774,2364,1507.96,121.56,67.63,1990.5
IMG_4030.JPEG,1019582,2364,1330,1.7774,2364,1504.3,121.57,66.76,1985.68
IMG_0303.JPEG,933236,2048,1536,1.3333,2048,1650.83,74.25,68.73,1981.0
IMG_4654.JPEG,1094484,1536,2048,0.75,2048,1747.75,147.05,38.36,1922.52
IMG_4029.JPEG,1008160,2364,1330,1.7774,2364,1453.12,120.1,65.65,1918.11
IMG_4025.JPEG,952628,2364,1330,1.7774,2364,1423.55,120.13,64.44,1879.08
IMG_9962.JPEG,848704,2048,1536,1.3333,2048,1418.01,119.62,63.08,1871.78
IMG_0323.JPEG,1071062,2048,1536,1.3333,2048,1414.09,121.99,53.87,1866.6
IMG_2859.JPEG,2663221,2268,4032,0.5625,4032,1406.83,132.57,62.34,1857.01
IMG_1431.JPEG,1149561,1330,2364,0.5626,2364,1677.03,136.62,55.04,1844.73
IMG_4024.JPEG,948177,2364,1330,1.7774,2364,1368.38,120.23,64.3,1806.26
IMG_5119.JPG,3912155,4032,3024,1.3333,4032,1131.75,107.76,61.24,1792.69
IMG_4027.JPEG,935916,2364,1330,1.7774,2364,1356.46,120.97,64.03,1790.53
IMG_4026.JPEG,939181,2364,1330,1.7774,2364,1352.93,119.91,64.42,1785.86
IMG_9463.jpeg,1093653,1536,2048,0.75,2048,1596.0,115.56,56.28,1755.6
IMG_0045.jpeg,1201582,1536,2049,0.7496,2049,1583.32,112.12,44.83,1741.66
IMG_7004.JPEG,512572,2208,1170,1.8872,2208,1309.9,144.1,53.18,1729.07
IMG_1408.JPEG,995816,1330,2364,0.5626,2364,1546.22,114.76,51.99,1700.84
IMG_1484.JPEG,784762,2364,1330,1.7774,2364,1284.08,137.46,42.01,1694.98
IMG_4020.JPEG,983749,2364,1330,1.7774,2364,1283.3,110.88,66.62,1693.95
IMG_4653.JPEG,1215760,1536,2048,0.75,2048,1517.75,150.16,34.76,1669.52
IMG_0066.jpeg,1054844,2049,1536,1.334,2049,1257.16,102.42,62.97,1659.45
IMG_4019.JPEG,964900,2364,1330,1.7774,2364,1253.59,109.87,66.34,1654.74
IMG_4652.JPEG,1105598,1536,2048,0.75,2048,1497.17,148.78,44.0,1646.89
IMG_9502.jpeg,1146086,1536,2048,0.75,2048,1496.71,96.24,52.23,1646.38
IMG_6087.JPEG,2049489,2268,4032,0.5625,4032,1243.76,149.64,62.06,1641.77
IMG_0004.jpeg,152126,720,960,0.75,960,1482.3,97.45,85.52,1630.53
